Created as New Dataset,Monday, April 03 2023
cm-1,A
4000.00,0.0192
3999.00,0.0192
3998.00,0.0192
3997.00,0.0192
3996.00,0.0192
3995.00,0.0192
3994.00,0.0192
3993.00,0.0192
3992.00,0.0192
3991.00,0.0192
3990.00,0.0191
3989.00,0.0191
3988.00,0.0191
3987.00,0.0191
3986.00,0.0191
3985.00,0.0191
3984.00,0.0191
3983.00,0.0191
3982.00,0.0191
3981.00,0.0191
3980.00,0.0191
3979.00,0.0191
3978.00,0.0191
3977.00,0.0190
3976.00,0.0190
3975.00,0.0190
3974.00,0.0190
3973.00,0.0190
3972.00,0.0190
3971.00,0.0190
3970.00,0.0190
3969.00,0.0190
3968.00,0.0190
3967.00,0.0190
3966.00,0.0190
3965.00,0.0190
3964.00,0.0190
3963.00,0.0190
3962.00,0.0190
3961.00,0.0190
3960.00,0.0190
3959.00,0.0190
3958.00,0.0190
3957.00,0.0190
3956.00,0.0190
3955.00,0.0189
3954.00,0.0189
3953.00,0.0189
3952.00,0.0189
3951.00,0.0189
3950.00,0.0189
3949.00,0.0189
3948.00,0.0188
3947.00,0.0188
3946.00,0.0187
3945.00,0.0188
3944.00,0.0188
3943.00,0.0188
3942.00,0.0188
3941.00,0.0188
3940.00,0.0188
3939.00,0.0188
3938.00,0.0189
3937.00,0.0188
3936.00,0.0188
3935.00,0.0188
3934.00,0.0189
3933.00,0.0189
3932.00,0.0189
3931.00,0.0188
3930.00,0.0188
3929.00,0.0187
3928.00,0.0187
3927.00,0.0187
3926.00,0.0188
3925.00,0.0187
3924.00,0.0187
3923.00,0.0186
3922.00,0.0186
3921.00,0.0187
3920.00,0.0186
3919.00,0.0186
3918.00,0.0186
3917.00,0.0186
3916.00,0.0186
3915.00,0.0186
3914.00,0.0187
3913.00,0.0187
3912.00,0.0188
3911.00,0.0188
3910.00,0.0187
3909.00,0.0187
3908.00,0.0186
3907.00,0.0185
3906.00,0.0183
3905.00,0.0182
3904.00,0.0181
3903.00,0.0180
3902.00,0.0180
3901.00,0.0182
3900.00,0.0183
3899.00,0.0183
3898.00,0.0183
3897.00,0.0184
3896.00,0.0184
3895.00,0.0185
3894.00,0.0185
3893.00,0.0185
3892.00,0.0185
3891.00,0.0184
3890.00,0.0183
3889.00,0.0182
3888.00,0.0184
3887.00,0.0185
3886.00,0.0185
3885.00,0.0184
3884.00,0.0182
3883.00,0.0182
3882.00,0.0183
3881.00,0.0184
3880.00,0.0183
3879.00,0.0182
3878.00,0.0182
3877.00,0.0183
3876.00,0.0184
3875.00,0.0183
3874.00,0.0182
3873.00,0.0180
3872.00,0.0180
3871.00,0.0181
3870.00,0.0181
3869.00,0.0179
3868.00,0.0179
3867.00,0.0180
3866.00,0.0181
3865.00,0.0181
3864.00,0.0181
3863.00,0.0181
3862.00,0.0181
3861.00,0.0182
3860.00,0.0183
3859.00,0.0182
3858.00,0.0180
3857.00,0.0177
3856.00,0.0174
3855.00,0.0174
3854.00,0.0177
3853.00,0.0178
3852.00,0.0175
3851.00,0.0176
3850.00,0.0179
3849.00,0.0182
3848.00,0.0183
3847.00,0.0183
3846.00,0.0183
3845.00,0.0182
3844.00,0.0181
3843.00,0.0180
3842.00,0.0178
3841.00,0.0177
3840.00,0.0176
3839.00,0.0176
3838.00,0.0177
3837.00,0.0177
3836.00,0.0177
3835.00,0.0177
3834.00,0.0179
3833.00,0.0180
3832.00,0.0181
3831.00,0.0181
3830.00,0.0182
3829.00,0.0182
3828.00,0.0183
3827.00,0.0182
3826.00,0.0181
3825.00,0.0178
3824.00,0.0177
3823.00,0.0177
3822.00,0.0178
3821.00,0.0178
3820.00,0.0176
3819.00,0.0175
3818.00,0.0178
3817.00,0.0180
3816.00,0.0181
3815.00,0.0180
3814.00,0.0180
