Created as New Dataset,
cm-1,A
4000.00,0.0214
3999.00,0.0214
3998.00,0.0213
3997.00,0.0213
3996.00,0.0215
3995.00,0.0215
3994.00,0.0215
3993.00,0.0215
3992.00,0.0215
3991.00,0.0214
3990.00,0.0214
3989.00,0.0213
3988.00,0.0214
3987.00,0.0214
3986.00,0.0214
3985.00,0.0214
3984.00,0.0214
3983.00,0.0214
3982.00,0.0214
3981.00,0.0215
3980.00,0.0215
3979.00,0.0215
3978.00,0.0215
3977.00,0.0215
3976.00,0.0215
3975.00,0.0215
3974.00,0.0215
3973.00,0.0215
3972.00,0.0215
3971.00,0.0215
3970.00,0.0214
3969.00,0.0214
3968.00,0.0213
3967.00,0.0213
3966.00,0.0213
3965.00,0.0213
3964.00,0.0213
3963.00,0.0214
3962.00,0.0214
3961.00,0.0215
3960.00,0.0215
3959.00,0.0216
3958.00,0.0215
3957.00,0.0215
3956.00,0.0214
3955.00,0.0214
3954.00,0.0214
3953.00,0.0215
3952.00,0.0215
3951.00,0.0216
3950.00,0.0216
3949.00,0.0216
3948.00,0.0216
3947.00,0.0217
3946.00,0.0218
3945.00,0.0219
3944.00,0.0219
3943.00,0.0218
3942.00,0.0217
3941.00,0.0217
3940.00,0.0217
3939.00,0.0216
3938.00,0.0215
3937.00,0.0214
3936.00,0.0214
3935.00,0.0215
3934.00,0.0216
3933.00,0.0216
3932.00,0.0217
3931.00,0.0217
3930.00,0.0218
3929.00,0.0218
3928.00,0.0219
3927.00,0.0219
3926.00,0.0219
3925.00,0.0218
3924.00,0.0217
3923.00,0.0217
3922.00,0.0217
3921.00,0.0217
3920.00,0.0216
3919.00,0.0216
3918.00,0.0216
3917.00,0.0216
3916.00,0.0216
3915.00,0.0216
3914.00,0.0216
3913.00,0.0215
3912.00,0.0214
3911.00,0.0213
3910.00,0.0213
3909.00,0.0214
3908.00,0.0216
3907.00,0.0217
3906.00,0.0218
3905.00,0.0217
3904.00,0.0218
3903.00,0.0220
3902.00,0.0223
3901.00,0.0225
3900.00,0.0224
3899.00,0.0222
3898.00,0.0219
3897.00,0.0218
3896.00,0.0217
3895.00,0.0217
3894.00,0.0217
3893.00,0.0217
3892.00,0.0216
3891.00,0.0215
3890.00,0.0214
3889.00,0.0217
3888.00,0.0219
3887.00,0.0219
3886.00,0.0217
3885.00,0.0216
3884.00,0.0219
3883.00,0.0223
3882.00,0.0225
3881.00,0.0222
3880.00,0.0219
3879.00,0.0217
3878.00,0.0218
3877.00,0.0220
3876.00,0.0221
3875.00,0.0218
3874.00,0.0216
3873.00,0.0217
3872.00,0.0220
3871.00,0.0221
3870.00,0.0218
3869.00,0.0216
3868.00,0.0218
3867.00,0.0221
3866.00,0.0221
3865.00,0.0218
3864.00,0.0217
3863.00,0.0217
3862.00,0.0218
3861.00,0.0217
3860.00,0.0215
3859.00,0.0213
3858.00,0.0213
3857.00,0.0215
3856.00,0.0218
3855.00,0.0218
3854.00,0.0217
3853.00,0.0216
3852.00,0.0218
3851.00,0.0219
3850.00,0.0219
3849.00,0.0216
3848.00,0.0214
3847.00,0.0213
3846.00,0.0212
3845.00,0.0213
3844.00,0.0212
3843.00,0.0213
3842.00,0.0214
3841.00,0.0216
3840.00,0.0218
3839.00,0.0218
3838.00,0.0219
3837.00,0.0219
3836.00,0.0219
3835.00,0.0219
3834.00,0.0219
3833.00,0.0217
3832.00,0.0215
3831.00,0.0213
3830.00,0.0214
3829.00,0.0215
3828.00,0.0215
3827.00,0.0213
3826.00,0.0211
3825.00,0.0212
3824.00,0.0215
3823.00,0.0217
3822.00,0.0215
3821.00,0.0211
3820.00,0.0212
3819.00,0.0215
3818.00,0.0219
3817.00,0.0218
3816.00,0.0213
3815.00,0.0211
3814.00,0.0212
3813.00,0.0212
3812.00,0.0211
3811.00,0.0209
3810.00,0.0209
3809.00,0.0210
3808.00,0.0209
3807.00,0.0207
3806.00,0.0206
3805.00,0.0209
3804.00,0.0214
3803.00,0.0216
3802.00,0.0214
3801.00,0.0212
3800.00,0.0213
3799.00,0.0216
3798.00,0.0217
3797.00,0.0214
3796.00,0.0211
3795.00,0.0209
3794.00,0.0210
3793.00,0.0210
3792.00,0.0209
3791.00,0.0208
3790.00,0.0207
3789.00,0.0207
3788.00,0.0208
3787.00,0.0208
3786.00,0.0208
3785.00,0.0208
3784.00,0.0208
3783.00,0.0209
3782.00,0.0210
3781.00,0.0211
3780.00,0.0210
3779.00,0.0208
3778.00,0.0208
3777.00,0.0209
3776.00,0.0209
3775.00,0.0207
3774.00,0.0206
3773.00,0.0206
3772.00,0.0207
3771.00,0.0207
3770.00,0.0206
3769.00,0.0207
3768.00,0.0210
3767.00,0.0212
3766.00,0.0211
3765.00,0.0209
3764.00,0.0208
3763.00,0.0209
3762.00,0.0211
3761.00,0.0210
3760.00,0.0209
3759.00,0.0209
3758.00,0.0209
3757.00,0.0209
3756.00,0.0209
3755.00,0.0209
3754.00,0.0208
3753.00,0.0205
3752.00,0.0202
3751.00,0.0203
3750.00,0.0205
3749.00,0.0207
3748.00,0.0210
3747.00,0.0214
3746.00,0.0217
3745.00,0.0214
3744.00,0.0209
3743.00,0.0207
3742.00,0.0208
3741.00,0.0208
3740.00,0.0206
3739.00,0.0205
3738.00,0.0206
3737.00,0.0207
3736.00,0.0208
3735.00,0.0210
3734.00,0.0213
3733.00,0.0213
3732.00,0.0210
3731.00,0.0207
3730.00,0.0206
3729.00,0.0206
3728.00,0.0206
3727.00,0.0205
3726.00,0.0205
3725.00,0.0207
3724.00,0.0209
3723.00,0.0210
3722.00,0.0209
3721.00,0.0208
3720.00,0.0208
3719.00,0.0207
3718.00,0.0206
3717.00,0.0204
3716.00,0.0205
3715.00,0.0206
3714.00,0.0206
3713.00,0.0206
3712.00,0.0206
3711.00,0.0208
3710.00,0.0210
3709.00,0.0211
3708.00,0.0211
3707.00,0.0209
3706.00,0.0208
3705.00,0.0208
3704.00,0.0210
3703.00,0.0211
3702.00,0.0211
3701.00,0.0211
3700.00,0.0212
3699.00,0.0212
3698.00,0.0212
3697.00,0.0211
3696.00,0.0211
3695.00,0.0211
3694.00,0.0212
3693.00,0.0214
3692.00,0.0215
3691.00,0.0215
3690.00,0.0216
3689.00,0.0217
3688.00,0.0216
3687.00,0.0215
3686.00,0.0215
3685.00,0.0214
3684.00,0.0212
3683.00,0.0210
3682.00,0.0209
3681.00,0.0208
3680.00,0.0207
3679.00,0.0208
3678.00,0.0212
3677.00,0.0216
3676.00,0.0217
3675.00,0.0217
3674.00,0.0218
3673.00,0.0221
3672.00,0.0222
3671.00,0.0219
3670.00,0.0216
3669.00,0.0216
3668.00,0.0218
3667.00,0.0219
3666.00,0.0217
3665.00,0.0215
3664.00,0.0214
3663.00,0.0213
3662.00,0.0213
3661.00,0.0214
3660.00,0.0214
3659.00,0.0216
3658.00,0.0217
3657.00,0.0218
3656.00,0.0219
3655.00,0.0221
3654.00,0.0225
3653.00,0.0229
3652.00,0.0230
3651.00,0.0228
3650.00,0.0229
3649.00,0.0236
3648.00,0.0242
3647.00,0.0244
3646.00,0.0241
3645.00,0.0238
3644.00,0.0236
3643.00,0.0234
3642.00,0.0233
3641.00,0.0232
3640.00,0.0232
3639.00,0.0232
3638.00,0.0233
3637.00,0.0233
3636.00,0.0235
3635.00,0.0235
3634.00,0.0234
3633.00,0.0234
3632.00,0.0236
3631.00,0.0240
3630.00,0.0242
3629.00,0.0244
3628.00,0.0247
3627.00,0.0249
3626.00,0.0250
3625.00,0.0249
3624.00,0.0248
3623.00,0.0248
3622.00,0.0250
3621.00,0.0253
3620.00,0.0256
3619.00,0.0259
3618.00,0.0261
3617.00,0.0262
3616.00,0.0262
3615.00,0.0261
3614.00,0.0258
3613.00,0.0257
3612.00,0.0257
3611.00,0.0258
3610.00,0.0260
3609.00,0.0260
3608.00,0.0261
3607.00,0.0262
3606.00,0.0263
3605.00,0.0263
3604.00,0.0262
3603.00,0.0261
3602.00,0.0261
3601.00,0.0261
3600.00,0.0262
3599.00,0.0264
3598.00,0.0265
3597.00,0.0267
3596.00,0.0268
3595.00,0.0269
3594.00,0.0269
3593.00,0.0269
3592.00,0.0269
3591.00,0.0269
3590.00,0.0271
3589.00,0.0273
3588.00,0.0276
3587.00,0.0279
3586.00,0.0281
3585.00,0.0281
3584.00,0.0280
3583.00,0.0278
3582.00,0.0277
3581.00,0.0276
3580.00,0.0277
3579.00,0.0278
3578.00,0.0278
3577.00,0.0279
3576.00,0.0279
3575.00,0.0278
3574.00,0.0278
3573.00,0.0278
3572.00,0.0279
3571.00,0.0280
3570.00,0.0283
3569.00,0.0286
3568.00,0.0289
3567.00,0.0293
3566.00,0.0296
3565.00,0.0297
3564.00,0.0296
3563.00,0.0294
3562.00,0.0292
3561.00,0.0291
3560.00,0.0290
3559.00,0.0289
3558.00,0.0289
3557.00,0.0289
3556.00,0.0289
3555.00,0.0289
3554.00,0.0290
3553.00,0.0292
3552.00,0.0293
3551.00,0.0294
3550.00,0.0295
3549.00,0.0296
3548.00,0.0296
3547.00,0.0298
3546.00,0.0300
3545.00,0.0301
3544.00,0.0302
3543.00,0.0302
3542.00,0.0301
3541.00,0.0300
3540.00,0.0300
3539.00,0.0300
3538.00,0.0301
3537.00,0.0302
3536.00,0.0303
3535.00,0.0304
3534.00,0.0304
3533.00,0.0303
3532.00,0.0303
3531.00,0.0303
3530.00,0.0304
3529.00,0.0305
3528.00,0.0306
3527.00,0.0307
3526.00,0.0309
3525.00,0.0310
3524.00,0.0311
3523.00,0.0311
3522.00,0.0311
3521.00,0.0312
3520.00,0.0311
3519.00,0.0311
3518.00,0.0311
3517.00,0.0312
3516.00,0.0313
3515.00,0.0313
3514.00,0.0313
3513.00,0.0314
3512.00,0.0314
3511.00,0.0315
3510.00,0.0316
3509.00,0.0317
3508.00,0.0317
3507.00,0.0318
3506.00,0.0318
3505.00,0.0318
3504.00,0.0319
3503.00,0.0321
3502.00,0.0322
3501.00,0.0324
3500.00,0.0324
3499.00,0.0324
3498.00,0.0324
3497.00,0.0324
3496.00,0.0324
3495.00,0.0324
3494.00,0.0324
3493.00,0.0324
3492.00,0.0324
3491.00,0.0324
3490.00,0.0325
