Created as New Dataset,Monday, April 03 2023
cm-1,A
4000.00,0.0143
3999.00,0.0143
3998.00,0.0143
3997.00,0.0143
3996.00,0.0143
3995.00,0.0143
3994.00,0.0143
3993.00,0.0143
3992.00,0.0143
3991.00,0.0143
3990.00,0.0143
3989.00,0.0143
3988.00,0.0143
3987.00,0.0143
3986.00,0.0143
3985.00,0.0143
3984.00,0.0142
3983.00,0.0142
3982.00,0.0142
3981.00,0.0142
3980.00,0.0142
3979.00,0.0143
3978.00,0.0143
3977.00,0.0143
3976.00,0.0143
3975.00,0.0142
3974.00,0.0142
3973.00,0.0142
3972.00,0.0142
3971.00,0.0142
3970.00,0.0141
3969.00,0.0141
3968.00,0.0141
3967.00,0.0141
3966.00,0.0142
3965.00,0.0142
3964.00,0.0142
3963.00,0.0142
3962.00,0.0142
3961.00,0.0141
3960.00,0.0141
3959.00,0.0141
3958.00,0.0141
3957.00,0.0141
3956.00,0.0141
3955.00,0.0141
3954.00,0.0141
3953.00,0.0141
3952.00,0.0141
3951.00,0.0141
3950.00,0.0141
3949.00,0.0141
3948.00,0.0141
3947.00,0.0141
3946.00,0.0141
3945.00,0.0141
3944.00,0.0141
3943.00,0.0140
3942.00,0.0139
3941.00,0.0139
3940.00,0.0140
3939.00,0.0140
3938.00,0.0140
3937.00,0.0141
3936.00,0.0141
3935.00,0.0142
3934.00,0.0142
3933.00,0.0142
3932.00,0.0142
3931.00,0.0141
3930.00,0.0141
3929.00,0.0140
3928.00,0.0140
3927.00,0.0140
3926.00,0.0140
3925.00,0.0140
3924.00,0.0139
3923.00,0.0139
3922.00,0.0139
3921.00,0.0139
3920.00,0.0139
3919.00,0.0139
3918.00,0.0139
3917.00,0.0139
3916.00,0.0138
3915.00,0.0138
3914.00,0.0139
3913.00,0.0139
3912.00,0.0139
3911.00,0.0139
3910.00,0.0139
3909.00,0.0139
3908.00,0.0140
3907.00,0.0140
3906.00,0.0139
3905.00,0.0139
3904.00,0.0139
3903.00,0.0138
3902.00,0.0138
3901.00,0.0138
3900.00,0.0137
3899.00,0.0136
3898.00,0.0137
3897.00,0.0138
3896.00,0.0140
3895.00,0.0140
3894.00,0.0140
3893.00,0.0139
3892.00,0.0138
3891.00,0.0137
3890.00,0.0137
3889.00,0.0139
3888.00,0.0140
3887.00,0.0140
3886.00,0.0139
3885.00,0.0140
3884.00,0.0140
3883.00,0.0140
3882.00,0.0139
3881.00,0.0137
3880.00,0.0135
3879.00,0.0136
3878.00,0.0137
3877.00,0.0139
3876.00,0.0139
3875.00,0.0139
3874.00,0.0139
3873.00,0.0139
3872.00,0.0139
3871.00,0.0138
3870.00,0.0137
3869.00,0.0137
3868.00,0.0139
3867.00,0.0141
3866.00,0.0141
3865.00,0.0139
3864.00,0.0138
3863.00,0.0137
3862.00,0.0137
3861.00,0.0138
3860.00,0.0139
3859.00,0.0139
3858.00,0.0139
3857.00,0.0139
3856.00,0.0139
3855.00,0.0141
3854.00,0.0142
3853.00,0.0140
3852.00,0.0139
3851.00,0.0139
3850.00,0.0139
3849.00,0.0138
3848.00,0.0138
3847.00,0.0138
3846.00,0.0138
3845.00,0.0138
3844.00,0.0137
3843.00,0.0138
3842.00,0.0138
3841.00,0.0139
3840.00,0.0139
3839.00,0.0138
3838.00,0.0138
3837.00,0.0138
3836.00,0.0138
3835.00,0.0137
3834.00,0.0137
3833.00,0.0137
3832.00,0.0137
3831.00,0.0137
3830.00,0.0138
3829.00,0.0139
3828.00,0.0138
3827.00,0.0138
3826.00,0.0137
3825.00,0.0138
3824.00,0.0139
3823.00,0.0139
3822.00,0.0139
3821.00,0.0138
3820.00,0.0138
3819.00,0.0139
3818.00,0.0139
3817.00,0.0138
3816.00,0.0137
3815.00,0.0137
3814.00,0.0138
3813.00,0.0138
3812.00,0.0138
3811.00,0.0137
3810.00,0.0137
3809.00,0.0138
3808.00,0.0138
3807.00,0.0139
3806.00,0.0139
3805.00,0.0141
3804.00,0.0141
3803.00,0.0141
3802.00,0.0140
3801.00,0.0138
3800.00,0.0138
3799.00,0.0139
3798.00,0.0138
3797.00,0.0136
3796.00,0.0135
3795.00,0.0134
3794.00,0.0135
3793.00,0.0135
3792.00,0.0135
3791.00,0.0135
3790.00,0.0135
3789.00,0.0135
3788.00,0.0136
3787.00,0.0136
3786.00,0.0136
3785.00,0.0135
3784.00,0.0135
3783.00,0.0136
3782.00,0.0136
3781.00,0.0135
3780.00,0.0134
3779.00,0.0133
3778.00,0.0133
3777.00,0.0134
3776.00,0.0134
3775.00,0.0135
3774.00,0.0135
3773.00,0.0135
3772.00,0.0136
3771.00,0.0135
3770.00,0.0135
3769.00,0.0135
3768.00,0.0135
3767.00,0.0135
3766.00,0.0134
3765.00,0.0134
3764.00,0.0135
3763.00,0.0137
3762.00,0.0137
3761.00,0.0137
3760.00,0.0137
3759.00,0.0136
3758.00,0.0136
3757.00,0.0136
3756.00,0.0137
3755.00,0.0137
3754.00,0.0139
3753.00,0.0140
3752.00,0.0142
3751.00,0.0142
3750.00,0.0142
3749.00,0.0141
3748.00,0.0140
3747.00,0.0139
3746.00,0.0137
3745.00,0.0135
3744.00,0.0136
3743.00,0.0138
3742.00,0.0141
3741.00,0.0142
3740.00,0.0141
3739.00,0.0141
3738.00,0.0142
3737.00,0.0142
3736.00,0.0141
3735.00,0.0139
3734.00,0.0137
3733.00,0.0136
3732.00,0.0136
3731.00,0.0137
3730.00,0.0139
3729.00,0.0141
3728.00,0.0141
3727.00,0.0141
3726.00,0.0141
3725.00,0.0141
3724.00,0.0141
3723.00,0.0141
3722.00,0.0141
3721.00,0.0142
3720.00,0.0143
3719.00,0.0144
3718.00,0.0145
3717.00,0.0147
3716.00,0.0149
3715.00,0.0152
3714.00,0.0154
3713.00,0.0158
3712.00,0.0161
3711.00,0.0163
3710.00,0.0165
3709.00,0.0167
3708.00,0.0170
3707.00,0.0174
3706.00,0.0177
3705.00,0.0179
3704.00,0.0183
3703.00,0.0186
3702.00,0.0191
3701.00,0.0195
3700.00,0.0200
3699.00,0.0204
3698.00,0.0207
3697.00,0.0209
3696.00,0.0210
3695.00,0.0211
3694.00,0.0211
3693.00,0.0211
3692.00,0.0210
3691.00,0.0209
3690.00,0.0208
3689.00,0.0206
3688.00,0.0204
3687.00,0.0203
3686.00,0.0202
3685.00,0.0200
3684.00,0.0197
3683.00,0.0195
3682.00,0.0193
3681.00,0.0191
3680.00,0.0189
3679.00,0.0187
3678.00,0.0185
3677.00,0.0185
3676.00,0.0185
3675.00,0.0186
3674.00,0.0188
3673.00,0.0190
3672.00,0.0191
3671.00,0.0191
3670.00,0.0190
3669.00,0.0190
3668.00,0.0191
3667.00,0.0192
3666.00,0.0193
3665.00,0.0194
3664.00,0.0195
3663.00,0.0196
3662.00,0.0197
3661.00,0.0198
3660.00,0.0199
3659.00,0.0201
3658.00,0.0204
3657.00,0.0207
3656.00,0.0210
3655.00,0.0213
3654.00,0.0214
3653.00,0.0213
3652.00,0.0213
3651.00,0.0215
3650.00,0.0218
3649.00,0.0219
3648.00,0.0217
3647.00,0.0215
3646.00,0.0215
3645.00,0.0215
3644.00,0.0214
3643.00,0.0212
3642.00,0.0211
3641.00,0.0210
3640.00,0.0209
3639.00,0.0208
3638.00,0.0208
3637.00,0.0207
3636.00,0.0207
3635.00,0.0208
3634.00,0.0208
3633.00,0.0207
3632.00,0.0207
3631.00,0.0208
3630.00,0.0211
3629.00,0.0216
3628.00,0.0220
3627.00,0.0225
3626.00,0.0230
3625.00,0.0235
3624.00,0.0239
3623.00,0.0243
3622.00,0.0246
3621.00,0.0248
3620.00,0.0248
3619.00,0.0245
3618.00,0.0241
3617.00,0.0236
3616.00,0.0232
3615.00,0.0227
3614.00,0.0223
3613.00,0.0221
3612.00,0.0219
3611.00,0.0218
3610.00,0.0217
3609.00,0.0216
3608.00,0.0215
3607.00,0.0214
3606.00,0.0214
3605.00,0.0214
3604.00,0.0214
3603.00,0.0213
3602.00,0.0213
3601.00,0.0212
3600.00,0.0211
3599.00,0.0210
3598.00,0.0210
3597.00,0.0209
3596.00,0.0210
3595.00,0.0210
3594.00,0.0211
3593.00,0.0211
3592.00,0.0211
3591.00,0.0210
3590.00,0.0209
3589.00,0.0209
