Created as New Dataset,
cm-1,A
4000.00,0.0283
3999.00,0.0283
3998.00,0.0283
3997.00,0.0284
3996.00,0.0284
3995.00,0.0284
3994.00,0.0284
3993.00,0.0284
3992.00,0.0284
3991.00,0.0283
3990.00,0.0282
3989.00,0.0282
3988.00,0.0282
3987.00,0.0282
3986.00,0.0282
3985.00,0.0282
3984.00,0.0282
3983.00,0.0282
3982.00,0.0283
3981.00,0.0283
3980.00,0.0283
3979.00,0.0283
3978.00,0.0283
3977.00,0.0282
3976.00,0.0282
3975.00,0.0283
3974.00,0.0283
3973.00,0.0283
3972.00,0.0283
3971.00,0.0283
3970.00,0.0282
3969.00,0.0281
3968.00,0.0281
3967.00,0.0280
3966.00,0.0280
3965.00,0.0281
3964.00,0.0281
3963.00,0.0282
3962.00,0.0282
3961.00,0.0282
3960.00,0.0282
3959.00,0.0282
3958.00,0.0282
3957.00,0.0282
3956.00,0.0281
3955.00,0.0281
3954.00,0.0280
3953.00,0.0280
3952.00,0.0281
3951.00,0.0282
3950.00,0.0283
3949.00,0.0284
3948.00,0.0284
3947.00,0.0284
3946.00,0.0284
3945.00,0.0284
3944.00,0.0284
3943.00,0.0284
3942.00,0.0283
3941.00,0.0283
3940.00,0.0283
3939.00,0.0282
3938.00,0.0281
3937.00,0.0280
3936.00,0.0280
3935.00,0.0281
3934.00,0.0282
3933.00,0.0283
3932.00,0.0283
3931.00,0.0284
3930.00,0.0283
3929.00,0.0283
3928.00,0.0282
3927.00,0.0282
3926.00,0.0282
3925.00,0.0282
3924.00,0.0282
3923.00,0.0283
3922.00,0.0283
3921.00,0.0284
3920.00,0.0283
3919.00,0.0284
3918.00,0.0284
3917.00,0.0284
3916.00,0.0283
3915.00,0.0282
3914.00,0.0281
3913.00,0.0280
3912.00,0.0279
3911.00,0.0278
3910.00,0.0278
3909.00,0.0278
3908.00,0.0279
3907.00,0.0281
3906.00,0.0283
3905.00,0.0284
3904.00,0.0286
3903.00,0.0288
3902.00,0.0291
3901.00,0.0293
3900.00,0.0292
3899.00,0.0289
3898.00,0.0285
3897.00,0.0283
3896.00,0.0282
3895.00,0.0282
3894.00,0.0282
3893.00,0.0283
3892.00,0.0283
3891.00,0.0281
3890.00,0.0280
3889.00,0.0282
3888.00,0.0285
3887.00,0.0285
3886.00,0.0282
3885.00,0.0280
3884.00,0.0283
3883.00,0.0288
3882.00,0.0290
3881.00,0.0288
3880.00,0.0285
3879.00,0.0282
3878.00,0.0282
3877.00,0.0283
3876.00,0.0283
3875.00,0.0281
3874.00,0.0279
3873.00,0.0281
3872.00,0.0286
3871.00,0.0287
3870.00,0.0284
3869.00,0.0282
3868.00,0.0283
3867.00,0.0287
3866.00,0.0287
3865.00,0.0285
3864.00,0.0283
3863.00,0.0284
3862.00,0.0284
3861.00,0.0283
3860.00,0.0280
3859.00,0.0278
3858.00,0.0278
3857.00,0.0279
3856.00,0.0280
3855.00,0.0280
3854.00,0.0278
3853.00,0.0278
3852.00,0.0280
3851.00,0.0283
3850.00,0.0283
3849.00,0.0282
3848.00,0.0279
3847.00,0.0278
3846.00,0.0277
3845.00,0.0276
3844.00,0.0275
3843.00,0.0276
3842.00,0.0277
3841.00,0.0280
3840.00,0.0282
3839.00,0.0283
3838.00,0.0283
3837.00,0.0282
3836.00,0.0282
3835.00,0.0283
3834.00,0.0283
3833.00,0.0282
3832.00,0.0279
3831.00,0.0277
3830.00,0.0277
3829.00,0.0278
3828.00,0.0279
3827.00,0.0278
3826.00,0.0276
3825.00,0.0277
3824.00,0.0280
3823.00,0.0282
3822.00,0.0280
3821.00,0.0277
3820.00,0.0276
3819.00,0.0280
3818.00,0.0283
3817.00,0.0281
3816.00,0.0276
3815.00,0.0273
3814.00,0.0274
3813.00,0.0275
3812.00,0.0274
3811.00,0.0272
3810.00,0.0270
3809.00,0.0271
3808.00,0.0271
3807.00,0.0268
3806.00,0.0268
3805.00,0.0271
3804.00,0.0275
3803.00,0.0277
3802.00,0.0275
3801.00,0.0273
3800.00,0.0275
3799.00,0.0278
3798.00,0.0280
3797.00,0.0278
3796.00,0.0274
3795.00,0.0273
3794.00,0.0273
3793.00,0.0273
3792.00,0.0271
3791.00,0.0270
3790.00,0.0269
3789.00,0.0269
3788.00,0.0269
3787.00,0.0269
3786.00,0.0270
3785.00,0.0270
3784.00,0.0270
3783.00,0.0271
3782.00,0.0272
3781.00,0.0272
3780.00,0.0271
3779.00,0.0270
3778.00,0.0270
3777.00,0.0271
3776.00,0.0271
3775.00,0.0269
3774.00,0.0267
3773.00,0.0267
3772.00,0.0268
3771.00,0.0268
3770.00,0.0268
3769.00,0.0269
3768.00,0.0272
3767.00,0.0274
3766.00,0.0273
3765.00,0.0271
3764.00,0.0270
3763.00,0.0271
3762.00,0.0272
3761.00,0.0272
3760.00,0.0271
3759.00,0.0271
3758.00,0.0271
3757.00,0.0271
3756.00,0.0271
3755.00,0.0271
3754.00,0.0271
3753.00,0.0269
3752.00,0.0269
3751.00,0.0271
3750.00,0.0273
3749.00,0.0273
3748.00,0.0275
3747.00,0.0279
3746.00,0.0280
3745.00,0.0275
3744.00,0.0267
3743.00,0.0266
3742.00,0.0269
3741.00,0.0272
3740.00,0.0271
3739.00,0.0270
3738.00,0.0270
3737.00,0.0271
3736.00,0.0273
3735.00,0.0276
3734.00,0.0278
3733.00,0.0277
3732.00,0.0272
3731.00,0.0268
3730.00,0.0266
3729.00,0.0267
3728.00,0.0268
3727.00,0.0267
3726.00,0.0267
3725.00,0.0269
3724.00,0.0271
3723.00,0.0271
