Created as New Dataset,Sample 004 By Administrator Date Monday, March 20 2023
cm-1,A
4000.00,0.0361
3999.00,0.0361
3998.00,0.0361
3997.00,0.0361
3996.00,0.0361
3995.00,0.0361
3994.00,0.0361
3993.00,0.0361
3992.00,0.0361
3991.00,0.0361
3990.00,0.0361
3989.00,0.0361
3988.00,0.0361
3987.00,0.0361
3986.00,0.0361
3985.00,0.0361
3984.00,0.0361
3983.00,0.0361
3982.00,0.0361
3981.00,0.0361
3980.00,0.0360
3979.00,0.0360
3978.00,0.0360
3977.00,0.0360
3976.00,0.0360
3975.00,0.0360
3974.00,0.0360
3973.00,0.0360
3972.00,0.0360
3971.00,0.0360
3970.00,0.0360
3969.00,0.0360
3968.00,0.0360
3967.00,0.0359
3966.00,0.0359
3965.00,0.0359
3964.00,0.0359
3963.00,0.0359
3962.00,0.0359
3961.00,0.0359
3960.00,0.0359
3959.00,0.0359
3958.00,0.0359
3957.00,0.0359
3956.00,0.0359
3955.00,0.0358
3954.00,0.0358
3953.00,0.0357
3952.00,0.0357
3951.00,0.0357
3950.00,0.0357
3949.00,0.0357
3948.00,0.0357
3947.00,0.0357
3946.00,0.0357
3945.00,0.0357
3944.00,0.0357
3943.00,0.0356
3942.00,0.0356
3941.00,0.0357
3940.00,0.0357
3939.00,0.0357
3938.00,0.0357
3937.00,0.0356
3936.00,0.0356
3935.00,0.0355
3934.00,0.0355
3933.00,0.0355
3932.00,0.0355
3931.00,0.0355
3930.00,0.0355
3929.00,0.0355
3928.00,0.0355
3927.00,0.0355
3926.00,0.0354
3925.00,0.0354
3924.00,0.0353
3923.00,0.0354
3922.00,0.0354
3921.00,0.0354
3920.00,0.0354
3919.00,0.0354
3918.00,0.0355
3917.00,0.0355
3916.00,0.0355
3915.00,0.0355
3914.00,0.0355
3913.00,0.0355
3912.00,0.0355
3911.00,0.0354
3910.00,0.0353
3909.00,0.0352
3908.00,0.0351
3907.00,0.0350
3906.00,0.0349
3905.00,0.0349
3904.00,0.0349
3903.00,0.0350
3902.00,0.0352
3901.00,0.0353
3900.00,0.0353
3899.00,0.0353
3898.00,0.0353
3897.00,0.0352
3896.00,0.0352
3895.00,0.0351
3894.00,0.0351
3893.00,0.0352
3892.00,0.0351
3891.00,0.0350
3890.00,0.0349
3889.00,0.0350
3888.00,0.0351
3887.00,0.0351
3886.00,0.0350
3885.00,0.0349
3884.00,0.0349
3883.00,0.0350
3882.00,0.0351
3881.00,0.0350
3880.00,0.0349
3879.00,0.0349
3878.00,0.0349
3877.00,0.0349
3876.00,0.0348
3875.00,0.0346
3874.00,0.0345
3873.00,0.0345
3872.00,0.0347
3871.00,0.0347
3870.00,0.0346
3869.00,0.0346
3868.00,0.0347
3867.00,0.0348
3866.00,0.0348
3865.00,0.0348
3864.00,0.0348
3863.00,0.0348
3862.00,0.0348
3861.00,0.0348
3860.00,0.0347
3859.00,0.0346
3858.00,0.0344
3857.00,0.0343
3856.00,0.0342
3855.00,0.0343
3854.00,0.0344
3853.00,0.0342
3852.00,0.0342
3851.00,0.0343
3850.00,0.0345
3849.00,0.0346
3848.00,0.0347
3847.00,0.0346
3846.00,0.0345
3845.00,0.0344
3844.00,0.0342
3843.00,0.0341
3842.00,0.0340
3841.00,0.0341
3840.00,0.0342
3839.00,0.0342
3838.00,0.0342
3837.00,0.0342
3836.00,0.0342
3835.00,0.0343
3834.00,0.0345
3833.00,0.0345
3832.00,0.0345
3831.00,0.0344
3830.00,0.0344
3829.00,0.0344
3828.00,0.0343
3827.00,0.0342
3826.00,0.0340
3825.00,0.0339
3824.00,0.0340
3823.00,0.0340
3822.00,0.0340
3821.00,0.0339
3820.00,0.0339
3819.00,0.0340
3818.00,0.0342
3817.00,0.0343
3816.00,0.0341
3815.00,0.0341
3814.00,0.0341
3813.00,0.0342
3812.00,0.0341
3811.00,0.0340
3810.00,0.0340
3809.00,0.0341
3808.00,0.0340
3807.00,0.0338
3806.00,0.0337
3805.00,0.0337
3804.00,0.0338
3803.00,0.0338
3802.00,0.0337
3801.00,0.0336
3800.00,0.0336
3799.00,0.0337
3798.00,0.0339
3797.00,0.0339
3796.00,0.0339
3795.00,0.0339
3794.00,0.0339
3793.00,0.0339
3792.00,0.0339
3791.00,0.0338
3790.00,0.0338
3789.00,0.0337
3788.00,0.0336
3787.00,0.0336
3786.00,0.0336
3785.00,0.0335
3784.00,0.0335
3783.00,0.0335
3782.00,0.0335
3781.00,0.0335
3780.00,0.0335
3779.00,0.0335
3778.00,0.0335
3777.00,0.0336
3776.00,0.0335
3775.00,0.0334
3774.00,0.0333
3773.00,0.0333
3772.00,0.0333
3771.00,0.0332
3770.00,0.0332
3769.00,0.0332
3768.00,0.0333
3767.00,0.0333
3766.00,0.0333
3765.00,0.0332
3764.00,0.0331
3763.00,0.0331
3762.00,0.0331
