Created as New Dataset,Sample 008 By Administrator Date Monday, March 20 2023
cm-1,A
4000.00,0.0109
3999.00,0.0109
3998.00,0.0109
3997.00,0.0109
3996.00,0.0109
3995.00,0.0109
3994.00,0.0109
3993.00,0.0109
3992.00,0.0109
3991.00,0.0109
3990.00,0.0109
3989.00,0.0109
3988.00,0.0109
3987.00,0.0109
3986.00,0.0109
3985.00,0.0109
3984.00,0.0109
3983.00,0.0108
3982.00,0.0109
3981.00,0.0109
3980.00,0.0109
3979.00,0.0109
3978.00,0.0109
3977.00,0.0109
3976.00,0.0109
3975.00,0.0109
3974.00,0.0108
3973.00,0.0108
3972.00,0.0108
3971.00,0.0108
3970.00,0.0108
3969.00,0.0108
3968.00,0.0108
3967.00,0.0108
3966.00,0.0108
3965.00,0.0108
3964.00,0.0108
3963.00,0.0108
3962.00,0.0108
3961.00,0.0108
3960.00,0.0108
3959.00,0.0108
3958.00,0.0108
3957.00,0.0108
3956.00,0.0108
3955.00,0.0108
3954.00,0.0108
3953.00,0.0108
3952.00,0.0108
3951.00,0.0108
3950.00,0.0108
3949.00,0.0108
3948.00,0.0108
3947.00,0.0108
3946.00,0.0108
3945.00,0.0108
3944.00,0.0107
3943.00,0.0107
3942.00,0.0107
3941.00,0.0107
3940.00,0.0108
3939.00,0.0108
3938.00,0.0108
3937.00,0.0108
3936.00,0.0108
3935.00,0.0108
3934.00,0.0108
3933.00,0.0108
3932.00,0.0108
3931.00,0.0108
3930.00,0.0107
3929.00,0.0107
3928.00,0.0107
3927.00,0.0107
3926.00,0.0107
3925.00,0.0106
3924.00,0.0107
3923.00,0.0107
3922.00,0.0107
3921.00,0.0108
3920.00,0.0108
3919.00,0.0108
3918.00,0.0108
3917.00,0.0108
3916.00,0.0107
3915.00,0.0107
3914.00,0.0107
3913.00,0.0106
3912.00,0.0106
3911.00,0.0106
3910.00,0.0106
3909.00,0.0106
3908.00,0.0106
3907.00,0.0106
3906.00,0.0107
3905.00,0.0107
3904.00,0.0108
3903.00,0.0109
3902.00,0.0109
3901.00,0.0108
3900.00,0.0108
3899.00,0.0107
3898.00,0.0107
3897.00,0.0107
3896.00,0.0107
3895.00,0.0107
3894.00,0.0107
3893.00,0.0107
3892.00,0.0106
3891.00,0.0106
3890.00,0.0106
3889.00,0.0106
3888.00,0.0107
3887.00,0.0107
3886.00,0.0107
3885.00,0.0107
3884.00,0.0107
3883.00,0.0106
3882.00,0.0106
3881.00,0.0105
3880.00,0.0105
3879.00,0.0105
3878.00,0.0106
3877.00,0.0106
3876.00,0.0106
3875.00,0.0105
3874.00,0.0105
3873.00,0.0105
3872.00,0.0106
3871.00,0.0107
3870.00,0.0107
3869.00,0.0107
3868.00,0.0107
3867.00,0.0108
3866.00,0.0108
3865.00,0.0108
3864.00,0.0107
3863.00,0.0107
3862.00,0.0107
3861.00,0.0107
3860.00,0.0107
3859.00,0.0106
3858.00,0.0106
3857.00,0.0106
3856.00,0.0106
3855.00,0.0106
3854.00,0.0106
3853.00,0.0106
3852.00,0.0105
3851.00,0.0105
3850.00,0.0105
3849.00,0.0106
3848.00,0.0106
3847.00,0.0106
3846.00,0.0105
3845.00,0.0105
3844.00,0.0105
3843.00,0.0105
3842.00,0.0105
3841.00,0.0105
3840.00,0.0105
3839.00,0.0105
3838.00,0.0105
3837.00,0.0105
3836.00,0.0105
3835.00,0.0105
3834.00,0.0105
3833.00,0.0105
3832.00,0.0105
3831.00,0.0105
3830.00,0.0105
3829.00,0.0104
3828.00,0.0104
3827.00,0.0104
3826.00,0.0104
3825.00,0.0105
3824.00,0.0105
3823.00,0.0105
3822.00,0.0105
3821.00,0.0105
3820.00,0.0105
3819.00,0.0104
3818.00,0.0104
3817.00,0.0104
3816.00,0.0103
3815.00,0.0103
3814.00,0.0103
3813.00,0.0103
3812.00,0.0103
3811.00,0.0103
3810.00,0.0103
3809.00,0.0103
3808.00,0.0103
3807.00,0.0104
3806.00,0.0104
3805.00,0.0103
3804.00,0.0103
3803.00,0.0103
3802.00,0.0102
3801.00,0.0102
3800.00,0.0102
3799.00,0.0102
3798.00,0.0102
3797.00,0.0102
3796.00,0.0102
3795.00,0.0101
3794.00,0.0101
3793.00,0.0101
3792.00,0.0101
3791.00,0.0100
3790.00,0.0100
3789.00,0.0100
3788.00,0.0100
3787.00,0.0100
3786.00,0.0100
3785.00,0.0100
3784.00,0.0100
3783.00,0.0100
3782.00,0.0100
3781.00,0.0100
3780.00,0.0099
3779.00,0.0099
3778.00,0.0099
3777.00,0.0099
3776.00,0.0099
3775.00,0.0099
3774.00,0.0099
3773.00,0.0099
3772.00,0.0099
3771.00,0.0099
3770.00,0.0100
3769.00,0.0100
3768.00,0.0100
3767.00,0.0100
3766.00,0.0100
3765.00,0.0100
3764.00,0.0100
3763.00,0.0100
3762.00,0.0100
3761.00,0.0100
3760.00,0.0099
3759.00,0.0099
3758.00,0.0099
3757.00,0.0100
3756.00,0.0100
3755.00,0.0101
3754.00,0.0101
3753.00,0.0102
3752.00,0.0103
3751.00,0.0104
3750.00,0.0104
3749.00,0.0104
3748.00,0.0104
3747.00,0.0103
