Created as New Dataset,Monday, April 03 2023
cm-1,A
4000.00,0.0155
3999.00,0.0155
3998.00,0.0155
3997.00,0.0155
3996.00,0.0154
3995.00,0.0154
3994.00,0.0154
3993.00,0.0154
3992.00,0.0154
3991.00,0.0155
3990.00,0.0155
3989.00,0.0155
3988.00,0.0154
3987.00,0.0154
3986.00,0.0154
3985.00,0.0153
3984.00,0.0153
3983.00,0.0153
3982.00,0.0153
3981.00,0.0153
3980.00,0.0153
3979.00,0.0153
3978.00,0.0153
3977.00,0.0153
3976.00,0.0153
3975.00,0.0153
3974.00,0.0152
3973.00,0.0153
3972.00,0.0153
3971.00,0.0153
3970.00,0.0154
3969.00,0.0154
3968.00,0.0154
3967.00,0.0153
3966.00,0.0152
3965.00,0.0152
3964.00,0.0152
3963.00,0.0153
3962.00,0.0154
3961.00,0.0154
3960.00,0.0153
3959.00,0.0152
3958.00,0.0152
3957.00,0.0152
3956.00,0.0151
3955.00,0.0150
3954.00,0.0150
3953.00,0.0149
3952.00,0.0149
3951.00,0.0150
3950.00,0.0151
3949.00,0.0152
3948.00,0.0152
3947.00,0.0152
3946.00,0.0152
3945.00,0.0151
3944.00,0.0151
3943.00,0.0150
3942.00,0.0149
3941.00,0.0149
3940.00,0.0150
3939.00,0.0150
3938.00,0.0151
3937.00,0.0151
3936.00,0.0151
3935.00,0.0150
3934.00,0.0149
3933.00,0.0149
3932.00,0.0150
3931.00,0.0150
3930.00,0.0150
3929.00,0.0149
3928.00,0.0149
3927.00,0.0149
3926.00,0.0149
3925.00,0.0150
3924.00,0.0150
3923.00,0.0150
3922.00,0.0149
3921.00,0.0149
3920.00,0.0149
3919.00,0.0149
3918.00,0.0150
3917.00,0.0150
3916.00,0.0150
3915.00,0.0150
3914.00,0.0150
3913.00,0.0151
3912.00,0.0151
3911.00,0.0151
3910.00,0.0150
3909.00,0.0149
3908.00,0.0148
3907.00,0.0147
3906.00,0.0145
3905.00,0.0144
3904.00,0.0144
3903.00,0.0144
3902.00,0.0145
3901.00,0.0146
3900.00,0.0147
3899.00,0.0147
3898.00,0.0147
3897.00,0.0147
3896.00,0.0147
3895.00,0.0147
3894.00,0.0147
3893.00,0.0147
3892.00,0.0147
3891.00,0.0146
3890.00,0.0144
3889.00,0.0143
3888.00,0.0143
3887.00,0.0144
3886.00,0.0144
3885.00,0.0144
3884.00,0.0143
3883.00,0.0143
3882.00,0.0144
3881.00,0.0144
3880.00,0.0144
3879.00,0.0144
3878.00,0.0145
3877.00,0.0147
3876.00,0.0148
3875.00,0.0147
3874.00,0.0145
3873.00,0.0143
3872.00,0.0142
3871.00,0.0143
3870.00,0.0144
3869.00,0.0143
3868.00,0.0142
3867.00,0.0142
3866.00,0.0143
3865.00,0.0145
3864.00,0.0146
3863.00,0.0146
3862.00,0.0146
3861.00,0.0146
3860.00,0.0146
3859.00,0.0144
3858.00,0.0142
3857.00,0.0138
3856.00,0.0134
3855.00,0.0134
3854.00,0.0136
3853.00,0.0138
3852.00,0.0138
3851.00,0.0138
3850.00,0.0141
3849.00,0.0143
3848.00,0.0144
3847.00,0.0145
3846.00,0.0145
3845.00,0.0145
3844.00,0.0144
3843.00,0.0143
3842.00,0.0141
3841.00,0.0141
3840.00,0.0141
3839.00,0.0141
3838.00,0.0140
3837.00,0.0139
3836.00,0.0139
3835.00,0.0140
3834.00,0.0141
3833.00,0.0143
3832.00,0.0144
3831.00,0.0144
3830.00,0.0144
3829.00,0.0144
3828.00,0.0144
3827.00,0.0144
3826.00,0.0143
3825.00,0.0142
3824.00,0.0141
3823.00,0.0142
3822.00,0.0143
3821.00,0.0142
3820.00,0.0139
3819.00,0.0137
3818.00,0.0138
3817.00,0.0141
3816.00,0.0143
3815.00,0.0143
3814.00,0.0144
3813.00,0.0145
3812.00,0.0146
3811.00,0.0145
3810.00,0.0143
3809.00,0.0142
3808.00,0.0142
3807.00,0.0142
3806.00,0.0141
3805.00,0.0141
3804.00,0.0141
3803.00,0.0143
3802.00,0.0144
3801.00,0.0144
3800.00,0.0141
3799.00,0.0140
3798.00,0.0141
3797.00,0.0142
3796.00,0.0143
3795.00,0.0143
3794.00,0.0144
3793.00,0.0145
3792.00,0.0147
3791.00,0.0147
3790.00,0.0147
3789.00,0.0147
3788.00,0.0148
3787.00,0.0148
3786.00,0.0148
3785.00,0.0148
3784.00,0.0147
3783.00,0.0146
3782.00,0.0145
3781.00,0.0145
3780.00,0.0145
3779.00,0.0145
3778.00,0.0145
3777.00,0.0145
3776.00,0.0146
3775.00,0.0146
3774.00,0.0146
3773.00,0.0145
3772.00,0.0144
3771.00,0.0143
3770.00,0.0143
3769.00,0.0141
3768.00,0.0141
3767.00,0.0141
3766.00,0.0143
3765.00,0.0144
3764.00,0.0144
3763.00,0.0144
3762.00,0.0144
3761.00,0.0144
3760.00,0.0144
3759.00,0.0143
3758.00,0.0141
3757.00,0.0139
3756.00,0.0138
3755.00,0.0136
3754.00,0.0135
3753.00,0.0133
3752.00,0.0134
3751.00,0.0135
3750.00,0.0135
3749.00,0.0134
3748.00,0.0134
3747.00,0.0135
3746.00,0.0137
3745.00,0.0138
3744.00,0.0137
3743.00,0.0136
3742.00,0.0136
3741.00,0.0139
3740.00,0.0140
3739.00,0.0139
3738.00,0.0138
3737.00,0.0137
3736.00,0.0137
3735.00,0.0136
3734.00,0.0136
3733.00,0.0136
3732.00,0.0137
3731.00,0.0138
3730.00,0.0139
3729.00,0.0140
3728.00,0.0141
3727.00,0.0142
3726.00,0.0142
3725.00,0.0141
3724.00,0.0140
3723.00,0.0140
3722.00,0.0140
3721.00,0.0141
3720.00,0.0142
3719.00,0.0143
3718.00,0.0143
3717.00,0.0143
3716.00,0.0141
3715.00,0.0140
3714.00,0.0140
3713.00,0.0141
3712.00,0.0142
3711.00,0.0142
3710.00,0.0140
3709.00,0.0140
3708.00,0.0141
3707.00,0.0143
3706.00,0.0145
3705.00,0.0146
3704.00,0.0146
3703.00,0.0146
3702.00,0.0146
3701.00,0.0146
3700.00,0.0146
3699.00,0.0147
3698.00,0.0148
3697.00,0.0148
3696.00,0.0147
3695.00,0.0146
3694.00,0.0145
3693.00,0.0144
3692.00,0.0143
3691.00,0.0143
3690.00,0.0145
3689.00,0.0146
3688.00,0.0145
3687.00,0.0145
3686.00,0.0145
3685.00,0.0147
3684.00,0.0148
3683.00,0.0148
3682.00,0.0148
3681.00,0.0146
3680.00,0.0144
3679.00,0.0140
3678.00,0.0138
3677.00,0.0137
3676.00,0.0138
3675.00,0.0137
3674.00,0.0135
3673.00,0.0135
3672.00,0.0138
3671.00,0.0142
3670.00,0.0145
3669.00,0.0146
3668.00,0.0147
3667.00,0.0149
3666.00,0.0151
3665.00,0.0153
3664.00,0.0154
3663.00,0.0154
3662.00,0.0155
3661.00,0.0156
3660.00,0.0156
3659.00,0.0157
3658.00,0.0157
3657.00,0.0158
3656.00,0.0158
3655.00,0.0157
3654.00,0.0156
3653.00,0.0155
3652.00,0.0154
3651.00,0.0153
3650.00,0.0154
3649.00,0.0155
3648.00,0.0155
3647.00,0.0155
3646.00,0.0157
3645.00,0.0159
3644.00,0.0162
3643.00,0.0165
3642.00,0.0166
3641.00,0.0167
3640.00,0.0168
3639.00,0.0168
3638.00,0.0169
3637.00,0.0169
3636.00,0.0169
3635.00,0.0169
3634.00,0.0169
3633.00,0.0167
3632.00,0.0165
3631.00,0.0165
3630.00,0.0167
3629.00,0.0170
3628.00,0.0171
3627.00,0.0170
3626.00,0.0171
3625.00,0.0172
3624.00,0.0173
3623.00,0.0172
3622.00,0.0172
3621.00,0.0172
3620.00,0.0173
3619.00,0.0173
3618.00,0.0172
3617.00,0.0171
3616.00,0.0172
3615.00,0.0173
3614.00,0.0174
3613.00,0.0174
3612.00,0.0174
3611.00,0.0174
3610.00,0.0176
3609.00,0.0178
3608.00,0.0179
3607.00,0.0180
3606.00,0.0179
3605.00,0.0179
3604.00,0.0179
3603.00,0.0179
3602.00,0.0180
3601.00,0.0181
3600.00,0.0182
3599.00,0.0181
3598.00,0.0180
3597.00,0.0179
3596.00,0.0180
3595.00,0.0180
3594.00,0.0180
3593.00,0.0180
3592.00,0.0179
3591.00,0.0179
3590.00,0.0179
3589.00,0.0179
3588.00,0.0181
3587.00,0.0182
3586.00,0.0182
3585.00,0.0183
3584.00,0.0184
3583.00,0.0184
3582.00,0.0185
3581.00,0.0185
3580.00,0.0185
3579.00,0.0185
3578.00,0.0185
3577.00,0.0185
3576.00,0.0186
3575.00,0.0186
3574.00,0.0187
3573.00,0.0187
3572.00,0.0186
3571.00,0.0185
3570.00,0.0183
3569.00,0.0183
3568.00,0.0184
3567.00,0.0185
3566.00,0.0185
3565.00,0.0184
3564.00,0.0184
3563.00,0.0185
3562.00,0.0187
3561.00,0.0189
3560.00,0.0190
3559.00,0.0191
3558.00,0.0191
3557.00,0.0191
3556.00,0.0192
3555.00,0.0193
3554.00,0.0193
3553.00,0.0194
3552.00,0.0194
3551.00,0.0194
3550.00,0.0194
3549.00,0.0194
3548.00,0.0194
3547.00,0.0195
3546.00,0.0195
3545.00,0.0196
3544.00,0.0196
3543.00,0.0196
3542.00,0.0196
3541.00,0.0196
3540.00,0.0196
3539.00,0.0195
3538.00,0.0195
3537.00,0.0195
3536.00,0.0195
3535.00,0.0196
3534.00,0.0197
3533.00,0.0198
3532.00,0.0198
3531.00,0.0198
3530.00,0.0197
3529.00,0.0196
3528.00,0.0195
3527.00,0.0194
3526.00,0.0195
3525.00,0.0197
3524.00,0.0199
3523.00,0.0201
3522.00,0.0201
3521.00,0.0200
3520.00,0.0199
3519.00,0.0198
3518.00,0.0198
3517.00,0.0198
3516.00,0.0198
3515.00,0.0198
3514.00,0.0199
3513.00,0.0200
3512.00,0.0201
3511.00,0.0201
3510.00,0.0200
3509.00,0.0200
3508.00,0.0200
3507.00,0.0200
3506.00,0.0201
3505.00,0.0202
3504.00,0.0203
3503.00,0.0203
3502.00,0.0203
3501.00,0.0202
3500.00,0.0202
3499.00,0.0203
3498.00,0.0204
3497.00,0.0205
3496.00,0.0205
3495.00,0.0205
3494.00,0.0205
3493.00,0.0205
3492.00,0.0204
3491.00,0.0204
3490.00,0.0204
3489.00,0.0204
3488.00,0.0204
3487.00,0.0203
3486.00,0.0203
3485.00,0.0203
3484.00,0.0204
3483.00,0.0205
3482.00,0.0205
3481.00,0.0205
3480.00,0.0205
3479.00,0.0206
3478.00,0.0206
3477.00,0.0206
3476.00,0.0207
3475.00,0.0208
3474.00,0.0208
3473.00,0.0208
3472.00,0.0208
3471.00,0.0208
3470.00,0.0208
3469.00,0.0209
3468.00,0.0209
3467.00,0.0209
3466.00,0.0209
3465.00,0.0210
3464.00,0.0210
3463.00,0.0210
3462.00,0.0208
3461.00,0.0208
3460.00,0.0208
3459.00,0.0209
3458.00,0.0210
3457.00,0.0210
3456.00,0.0209
3455.00,0.0209
3454.00,0.0209
3453.00,0.0209
3452.00,0.0210
3451.00,0.0210
3450.00,0.0211
3449.00,0.0211
3448.00,0.0211
3447.00,0.0211
3446.00,0.0211
3445.00,0.0211
3444.00,0.0212
3443.00,0.0212
3442.00,0.0211
3441.00,0.0210
3440.00,0.0209
3439.00,0.0209
3438.00,0.0209
3437.00,0.0210
3436.00,0.0210
3435.00,0.0210
3434.00,0.0210
3433.00,0.0211
3432.00,0.0211
3431.00,0.0212
3430.00,0.0212
3429.00,0.0211
3428.00,0.0211
3427.00,0.0211
3426.00,0.0212
3425.00,0.0213
3424.00,0.0214
3423.00,0.0215
3422.00,0.0215
3421.00,0.0214
3420.00,0.0213
3419.00,0.0213
3418.00,0.0213
3417.00,0.0213
3416.00,0.0213
3415.00,0.0213
3414.00,0.0213
3413.00,0.0214
3412.00,0.0214
3411.00,0.0214
3410.00,0.0215
3409.00,0.0215
3408.00,0.0215
3407.00,0.0216
3406.00,0.0216
3405.00,0.0216
3404.00,0.0215
3403.00,0.0214
3402.00,0.0214
3401.00,0.0214
3400.00,0.0215
3399.00,0.0215
3398.00,0.0215
3397.00,0.0215
3396.00,0.0214
3395.00,0.0214
3394.00,0.0214
3393.00,0.0214
3392.00,0.0214
3391.00,0.0215
3390.00,0.0215
3389.00,0.0215
3388.00,0.0215
3387.00,0.0215
3386.00,0.0215
3385.00,0.0215
3384.00,0.0216
3383.00,0.0216
3382.00,0.0217
3381.00,0.0217
3380.00,0.0217
3379.00,0.0217
3378.00,0.0217
3377.00,0.0217
3376.00,0.0216
3375.00,0.0216
3374.00,0.0216
3373.00,0.0216
3372.00,0.0215
3371.00,0.0215
3370.00,0.0216
3369.00,0.0216
3368.00,0.0216
3367.00,0.0216
3366.00,0.0215
3365.00,0.0214
3364.00,0.0214
3363.00,0.0214
3362.00,0.0215
3361.00,0.0216
3360.00,0.0217
3359.00,0.0217
3358.00,0.0217
3357.00,0.0217
