Created as New Dataset,Monday, April 03 2023
cm-1,A
4000.00,0.0534
3999.00,0.0533
3998.00,0.0533
3997.00,0.0532
3996.00,0.0532
3995.00,0.0531
3994.00,0.0530
3993.00,0.0530
3992.00,0.0530
3991.00,0.0530
3990.00,0.0530
3989.00,0.0530
3988.00,0.0530
3987.00,0.0530
3986.00,0.0530
3985.00,0.0531
3984.00,0.0531
3983.00,0.0531
3982.00,0.0531
3981.00,0.0530
3980.00,0.0530
3979.00,0.0530
3978.00,0.0530
3977.00,0.0529
3976.00,0.0529
3975.00,0.0528
3974.00,0.0528
3973.00,0.0528
3972.00,0.0529
3971.00,0.0529
3970.00,0.0530
3969.00,0.0531
3968.00,0.0531
3967.00,0.0530
3966.00,0.0529
3965.00,0.0528
3964.00,0.0528
3963.00,0.0529
3962.00,0.0529
3961.00,0.0528
3960.00,0.0528
3959.00,0.0527
3958.00,0.0527
3957.00,0.0528
3956.00,0.0527
3955.00,0.0526
3954.00,0.0525
3953.00,0.0523
3952.00,0.0522
3951.00,0.0522
3950.00,0.0523
3949.00,0.0524
3948.00,0.0523
3947.00,0.0522
3946.00,0.0521
3945.00,0.0522
3944.00,0.0523
3943.00,0.0524
3942.00,0.0522
3941.00,0.0522
3940.00,0.0523
3939.00,0.0525
3938.00,0.0526
3937.00,0.0525
3936.00,0.0522
3935.00,0.0520
3934.00,0.0520
3933.00,0.0520
3932.00,0.0520
3931.00,0.0520
3930.00,0.0519
3929.00,0.0519
3928.00,0.0519
3927.00,0.0519
3926.00,0.0520
3925.00,0.0520
3924.00,0.0518
3923.00,0.0516
3922.00,0.0515
3921.00,0.0515
3920.00,0.0516
3919.00,0.0517
3918.00,0.0520
3917.00,0.0522
3916.00,0.0523
3915.00,0.0524
3914.00,0.0526
3913.00,0.0528
3912.00,0.0529
3911.00,0.0528
3910.00,0.0524
3909.00,0.0518
3908.00,0.0512
3907.00,0.0506
3906.00,0.0502
3905.00,0.0499
3904.00,0.0497
3903.00,0.0495
3902.00,0.0498
3901.00,0.0505
3900.00,0.0512
3899.00,0.0515
3898.00,0.0515
3897.00,0.0515
3896.00,0.0515
3895.00,0.0514
3894.00,0.0514
3893.00,0.0516
3892.00,0.0518
3891.00,0.0514
3890.00,0.0506
3889.00,0.0503
3888.00,0.0507
3887.00,0.0513
3886.00,0.0514
3885.00,0.0508
3884.00,0.0501
3883.00,0.0502
3882.00,0.0509
3881.00,0.0515
3880.00,0.0514
3879.00,0.0509
3878.00,0.0507
3877.00,0.0511
3876.00,0.0515
3875.00,0.0513
3874.00,0.0504
3873.00,0.0496
3872.00,0.0497
3871.00,0.0505
3870.00,0.0508
3869.00,0.0502
3868.00,0.0497
3867.00,0.0501
3866.00,0.0508
3865.00,0.0512
3864.00,0.0512
3863.00,0.0513
3862.00,0.0514
3861.00,0.0515
3860.00,0.0513
3859.00,0.0507
3858.00,0.0498
3857.00,0.0486
3856.00,0.0478
3855.00,0.0483
3854.00,0.0496
3853.00,0.0500
3852.00,0.0495
3851.00,0.0500
3850.00,0.0514
3849.00,0.0522
3848.00,0.0523
3847.00,0.0520
3846.00,0.0516
3845.00,0.0512
3844.00,0.0507
3843.00,0.0500
3842.00,0.0493
3841.00,0.0490
3840.00,0.0492
3839.00,0.0497
3838.00,0.0500
3837.00,0.0500
3836.00,0.0500
3835.00,0.0504
3834.00,0.0511
3833.00,0.0517
3832.00,0.0519
3831.00,0.0518
3830.00,0.0516
3829.00,0.0517
3828.00,0.0519
3827.00,0.0517
3826.00,0.0510
3825.00,0.0501
3824.00,0.0497
3823.00,0.0501
3822.00,0.0507
3821.00,0.0505
3820.00,0.0494
3819.00,0.0492
3818.00,0.0503
3817.00,0.0517
3816.00,0.0524
3815.00,0.0521
3814.00,0.0520
3813.00,0.0524
3812.00,0.0527
3811.00,0.0522
3810.00,0.0517
3809.00,0.0516
3808.00,0.0518
3807.00,0.0517
3806.00,0.0508
3805.00,0.0500
3804.00,0.0503
3803.00,0.0512
3802.00,0.0518
3801.00,0.0514
3800.00,0.0506
3799.00,0.0507
3798.00,0.0517
3797.00,0.0524
3796.00,0.0526
3795.00,0.0524
3794.00,0.0526
3793.00,0.0530
3792.00,0.0533
3791.00,0.0533
3790.00,0.0532
3789.00,0.0530
3788.00,0.0528
3787.00,0.0528
3786.00,0.0529
3785.00,0.0528
3784.00,0.0525
3783.00,0.0522
3782.00,0.0521
3781.00,0.0524
3780.00,0.0527
3779.00,0.0527
3778.00,0.0526
3777.00,0.0527
3776.00,0.0530
3775.00,0.0530
3774.00,0.0526
3773.00,0.0522
3772.00,0.0522
3771.00,0.0522
3770.00,0.0521
3769.00,0.0517
3768.00,0.0516
3767.00,0.0520
3766.00,0.0525
3765.00,0.0525
3764.00,0.0521
3763.00,0.0519
3762.00,0.0519
3761.00,0.0520
3760.00,0.0519
3759.00,0.0517
3758.00,0.0513
3757.00,0.0507
3756.00,0.0501
3755.00,0.0496
3754.00,0.0491
3753.00,0.0488
3752.00,0.0491
3751.00,0.0497
3750.00,0.0497
3749.00,0.0491
3748.00,0.0488
3747.00,0.0493
3746.00,0.0506
3745.00,0.0517
3744.00,0.0513
3743.00,0.0502
3742.00,0.0502
3741.00,0.0509
3740.00,0.0508
3739.00,0.0501
3738.00,0.0494
3737.00,0.0492
3736.00,0.0493
3735.00,0.0493
3734.00,0.0496
3733.00,0.0503
3732.00,0.0509
3731.00,0.0512
3730.00,0.0514
3729.00,0.0518
3728.00,0.0521
3727.00,0.0521
3726.00,0.0517
3725.00,0.0514
3724.00,0.0514
3723.00,0.0517
3722.00,0.0519
3721.00,0.0521
3720.00,0.0524
3719.00,0.0527
3718.00,0.0527
3717.00,0.0523
3716.00,0.0517
3715.00,0.0512
3714.00,0.0509
3713.00,0.0510
3712.00,0.0514
3711.00,0.0516
3710.00,0.0517
3709.00,0.0520
3708.00,0.0524
3707.00,0.0529
3706.00,0.0530
3705.00,0.0531
3704.00,0.0531
3703.00,0.0532
3702.00,0.0532
3701.00,0.0532
3700.00,0.0532
3699.00,0.0534
3698.00,0.0538
3697.00,0.0539
3696.00,0.0535
3695.00,0.0529
3694.00,0.0523
3693.00,0.0516
3692.00,0.0512
3691.00,0.0513
3690.00,0.0520
