Created as New Dataset,Monday, April 03 2023
cm-1,A
4000.00,0.0224
3999.00,0.0224
3998.00,0.0223
3997.00,0.0223
3996.00,0.0223
3995.00,0.0223
3994.00,0.0223
3993.00,0.0223
3992.00,0.0223
3991.00,0.0223
3990.00,0.0223
3989.00,0.0223
3988.00,0.0223
3987.00,0.0223
3986.00,0.0223
3985.00,0.0223
3984.00,0.0223
3983.00,0.0223
3982.00,0.0222
3981.00,0.0222
3980.00,0.0222
3979.00,0.0223
3978.00,0.0223
3977.00,0.0222
3976.00,0.0222
3975.00,0.0222
3974.00,0.0222
3973.00,0.0222
3972.00,0.0222
3971.00,0.0221
3970.00,0.0221
3969.00,0.0221
3968.00,0.0221
3967.00,0.0221
3966.00,0.0222
3965.00,0.0222
3964.00,0.0222
3963.00,0.0222
3962.00,0.0222
3961.00,0.0222
3960.00,0.0221
3959.00,0.0221
3958.00,0.0221
3957.00,0.0221
3956.00,0.0221
3955.00,0.0221
3954.00,0.0220
3953.00,0.0220
3952.00,0.0221
3951.00,0.0221
3950.00,0.0221
3949.00,0.0221
3948.00,0.0222
3947.00,0.0222
3946.00,0.0222
3945.00,0.0221
3944.00,0.0220
3943.00,0.0219
3942.00,0.0219
3941.00,0.0219
3940.00,0.0219
3939.00,0.0219
3938.00,0.0220
3937.00,0.0220
3936.00,0.0221
3935.00,0.0222
3934.00,0.0222
3933.00,0.0222
3932.00,0.0221
3931.00,0.0220
3930.00,0.0220
3929.00,0.0220
3928.00,0.0219
3927.00,0.0218
3926.00,0.0218
3925.00,0.0217
3924.00,0.0217
3923.00,0.0218
3922.00,0.0218
3921.00,0.0219
3920.00,0.0219
3919.00,0.0219
3918.00,0.0219
3917.00,0.0219
3916.00,0.0219
3915.00,0.0218
3914.00,0.0218
3913.00,0.0217
3912.00,0.0217
3911.00,0.0217
3910.00,0.0217
3909.00,0.0218
3908.00,0.0218
3907.00,0.0219
3906.00,0.0220
3905.00,0.0221
3904.00,0.0222
3903.00,0.0223
3902.00,0.0222
3901.00,0.0221
3900.00,0.0219
3899.00,0.0219
3898.00,0.0219
3897.00,0.0219
3896.00,0.0220
3895.00,0.0220
3894.00,0.0220
3893.00,0.0219
3892.00,0.0219
3891.00,0.0219
3890.00,0.0219
3889.00,0.0220
3888.00,0.0220
3887.00,0.0220
3886.00,0.0220
3885.00,0.0219
3884.00,0.0219
3883.00,0.0218
3882.00,0.0216
3881.00,0.0215
3880.00,0.0215
3879.00,0.0216
3878.00,0.0217
3877.00,0.0217
3876.00,0.0216
3875.00,0.0216
3874.00,0.0216
3873.00,0.0217
3872.00,0.0218
3871.00,0.0218
3870.00,0.0218
3869.00,0.0219
3868.00,0.0220
3867.00,0.0221
3866.00,0.0221
3865.00,0.0219
3864.00,0.0217
3863.00,0.0216
3862.00,0.0217
3861.00,0.0217
3860.00,0.0218
3859.00,0.0217
